,Unnamed: 0,id,Comentário,class_result,topics,Sabia,sentimentoLeia,pysentimiento,RoBERTa,abaporu
64,64,igk8ofv,cara fez alguma coisa deputado,0,3,1,1,0,1,1
65,65,ih4axd6,min vanderlan ja jogou jorge jogou ano inteiro,2,8,2,1,1,1,1
66,66,ih88bgq,primeira boa colocação tempo,2,2,2,2,2,2,2
67,67,ihvogh1,futebol baixo nível campeonatos sulamericanos mesmo,0,3,0,2,0,0,0
68,68,im96gwu,qual presidente vez olha pra camera nada faz cara assim   karen filippelli,0,0,1,1,1,0,1
69,69,in3tz76,véi sofrendo webnamoro pqp você quantos anos,0,5,0,0,0,0,0
70,70,ingm4ip,bobão querendo ganhar like lacração bolsonarista leu post kkk,0,3,0,2,0,1,0
71,71,ioeme6y,cara real que vc pra comer todos dias nao estaria aí agora pode dar pra quantos pra quiser todos dias importa aonde estiver vai ter cara agradavel vai poder sentar forte sentar forte sentar forte infelizmente vc jogou mal ter estipulado regra só podemos ficar outras pessoas juntos cara vc fechar relação jamais vai conseguir deixar sair alguma amiga ir beber conversar pessoal trabalho bar vai ficar remoendo casa igual viciado crack sempre achando outro outros lá as vezes vão juntos fazer baguncinha ela f respect but you were stupid,0,4,0,0,1,0,0
72,72,ioslk92,stranger things genérico pra caralho totalmente compreensível kkkkkkkk,0,6,0,1,2,2,0
73,73,ir7yxdd,vai acostumando quase todo professor faz jogo sujo,0,7,0,2,1,0,0
74,74,irx7kkz,político engraçado demais alguém faz propaganda rede aberta televisão massacrando nunca iria ligar pessoa tá lá hoje marininha fazendo l lado sapo ladrão pra tentar ganhar boquinha futuro governo tá errada acho não bandido vai vir tudo pra cima todo mundo adversário tá tentando livrar perseguição,0,4,0,0,0,0,0
75,75,it0itqz,olha sorte cara pqp,2,5,2,2,2,0,2
76,76,itl64s0,eu pesquisei li sobre bastante vi pessoas dizendo governo lula socialliberal queria saber onde comunismo bolsonaro sempre diz cade socialização meios produção eu liberal bobão acha privatização diminuir impostos resolve tudo o estado precisa participar economia políticas geral também exemplo liberalismo sempre defendeu renda minima desde essência milton friedman falava disso anos atrás o problema brasil tudo deturpado liberalismo fica fora acham ancaps longe verdade,0,8,1,0,0,0,0
77,77,iuemgbr,nossa fez otima manter,2,2,2,1,2,2,2
78,78,iv6k1v5,tu chupa cu sujo vem falar  pra mim mas tá resolve facilmente conversa vai constrangedora com certeza vai principalmente pra ele mas feito pede pra conversar fala pra gosta tá limpo lá embaixo vai fazer tomar banho bem tomado antes pronto,0,0,0,2,0,1,0
79,79,iw15mxj,tu vai beijar garota programa louco,0,7,0,1,1,1,0
80,80,iwtg9o2,aproveite nobre,2,2,2,2,2,2,2
81,81,ix1gtn9,show gretchen,0,0,1,1,2,2,1
82,82,iycqxp5,cada dia passa certeza dever ensinar inteligência emocional meninas pra terem passar tipo situação é triste mulher renda emoções razão o futuro sombrio,0,4,0,0,1,0,0
83,83,izob9un,sem novidades tse vai usar dó poderes absolutos dados stf vai assim governo transformando congresso vaca presépio,0,0,0,2,1,0,0
84,84,izuxz2e,imaturidade nome,0,4,0,1,1,1,0
85,85,j0le6wr,guardinha municipal certamente passou concurso polícia verdade vestindo farda ainda sim acha pica galáxias,0,-1,0,2,0,0,0
86,86,httuace,tem pai cego,0,-1,1,0,1,0,0
87,87,hu0p1wz,belo ê paraíso fiscal,0,0,1,2,2,2,0
88,88,hw8we2g,não ia cair fora kkkkkkkkkk e outra quero saber onde tô criando narrativa sendo fala no vídeo defende existência partido nazista nazista,0,6,0,0,0,0,0
89,89,i0mv2im,marco feliciano lixo lixos começou vida pastor igreja neopetencostal lá direto politica entupindo bolsos dinheiro se inferno vai direto pra lá,0,1,0,0,0,0,0
90,90,i0v9s2l,lidar pedreiros tipo abrir caixa pandora acho melhor modo lidar disso contratando empreiteira porém ficaria pouco caro,0,-1,1,2,1,0,1
91,91,i1iuuw5,até pessoal hoje aprender tocar bola  passariam aperto essas comparações sentido mesmo porque pessoal época viesse pra poderia usar evolução medicina jogaria  jogos ano cartões,0,1,1,0,0,1,0
92,92,i2gnet2,se qualquer marido dando tapa ia bater palmas corno manso fiquei puto exatamente,0,0,0,2,0,0,0
93,93,i2s7iys,sim meninos acompanhados pai e meninas pequenas acompanhadas mãe a problemática comprovada existem homens dizem trans irem banheiro aproveitar vulnerabilidade mulheres ali,0,0,0,0,1,0,0
94,94,i2svl0y,dizem tipo mouse usado hebreus,0,5,1,1,1,1,1
95,95,i3aglio,porra ta sacanagem fazer gente eliminado pro palmeiras  vezes ano fudê,0,3,0,0,0,0,0
96,96,i4hdxb7,tem pessoa diz comer pão diabo amassou ai come pão diabo conseguiu amassa,0,5,0,0,1,0,0
97,97,i4lw80i,da pra abater prejuízo lucro fi caso mesma classificação tributária exemplo fi curto prazo longo prazo ações muita gente acha precisam administrador receita meio in  diz precisa caso aporte fundo intermediadora porém precisa sempre nesta mesma intermediadora poder fazer compensação corretoras diferentes rola,0,-1,1,0,1,1,1
98,98,i5kecac,ele mulher love relação criança super tranquila mas pegou pra casar viver cotidiano moeda girou mas aí problema casamento si relacionamento aliás todos casamentos uma maravilha durante namoro difícil durante casamento,0,1,1,0,2,2,0
99,99,i5m0qci,porque gado gosta dele,2,2,1,2,1,2,0
100,100,i5nxyrt,assim diego souza sair guarani vai colocar goleirolinha pq risco tomar gol zero,0,0,1,0,1,0,0
101,101,i5vsqod,sim sempre fdp q fica brincando jogando brincando inventa fuder vida inventando trabalhos p fazer fudendo ambiente fofoca esquentando ambiente desligando ar bagunçando tudo parece q testam paciência a gente reza sempre uns demônios desses meio caminho,0,1,0,2,0,0,0
102,102,i7z2njq,adorei ficou legal ver gtr andando que software usou animar,2,5,2,2,2,2,2
103,103,i8189mt,sair às ruas livro burro,0,8,0,0,0,0,0
104,104,i9fvlhu,roxo fica lindo tão comum cabelo roxo,2,0,2,0,2,2,2
105,105,ibpx1w7,percebo belíssimas moralmente corretas cidade taubaté,0,0,1,2,2,2,0
106,106,icoo4uv,ai tenta rodar tibia lol merda roda direito,0,1,0,0,0,0,0
107,107,iddkfgb,dorival volta pro vozão,0,1,0,1,0,1,0
108,108,ig1pahp,vish kkkkkk aposto aplicar teste conhecimentos gerais sobre brasil metade passa kkkkkkkk,0,6,1,0,1,1,0
109,109,ij79njs,que vc atraente,0,7,0,0,2,2,2
110,110,ikz2pv2,verdade números ruim fazer comparação proporção zeros   assim   e usando palavras outro redditor matemática a série,0,1,1,0,0,0,1
111,111,im6k9ve,subimo porraaaaaaaaaaa,2,-1,2,1,2,2,2
112,112,imuftmu,clown world total,0,8,0,1,2,2,1
113,113,inknk9y,kkkkk quase cuspi café pqp,2,0,2,1,0,0,2
114,114,inq85or,pedir maiscedo pior todos silas malacheia pastor feijão mágico esqueci nome dele igreja milton ribeiro produziu dias documento onde diz deve combater idéias esquerda igreja picareta exjogador kaká frequenta etc etc etc se algum evangélico bom cita aí algum pois consigo lembrar lixo arrogante falso moralista,0,1,0,0,0,0,0
115,115,iol6sgv,porra decepção tomara criança segura,0,1,0,0,0,0,0
116,116,ipv86my,hoje salário aumentou kkkk,0,0,1,1,1,1,0
117,117,iqnztiu,culpar monte,0,1,0,1,1,0,0
118,118,iqx4hcl,o pessoal parar achar pessoas burras causa classe social situação financeira olha felipe neto rico imbecil,0,3,1,0,0,0,0
119,119,iuhx4bs,eu gostaria passaporte visto sei programar faço coisas construção civil chama inbox gente conversa gostaria tirar algumas duvidas,2,7,1,0,1,1,2
120,120,iv2glyx,ainda usou perfil bia kiks pra falar isso falou fugiu pra ter liberdade expressão exatamente alguma palhaçada mesma linha,0,-1,0,0,0,0,0
121,121,ivtcv6v,o santos contra time aí empataria x,0,8,1,0,1,0,1
122,122,iwnvnpt,ruim sei faz tapa buraco,0,8,0,0,0,0,0
123,123,iwrxbq0,coxinha empadinha quindim,0,6,1,1,1,1,1
124,124,iwshb65,mas deixa exatakkkkkkk,2,6,1,0,1,0,2
125,125,iy975vx,essa fonte basicamente xinga brasileiros bêbados só ler vc fica tonto tomado pinga então acho q inspiração álcool,0,0,0,2,1,0,0
126,126,iyfsz60,eae chegou,0,5,1,1,1,1,1
127,127,iyiylgc,papuda ta comendo mente cidadão,0,5,0,1,1,0,0
128,128,iyvd7wm,as mulheres querem homem parceiro conversa boa cheiroso eh  pra elas beleza eh cereja bolo justifica cometer erros hahahah,2,-1,2,2,1,0,2
129,129,izjqtg6,pessoal consegue,0,7,0,0,2,1,0
130,130,j00l1i4,depende moral ninguém descobrir então literalmente fodase nunca acontecido as pessoas consumam complicar coisas fim tudo fácil se considera ato ruim simplesmente repita erro remoer vai fazer voltar tempo,0,1,1,0,0,0,0
131,131,j0ucc19,errado de  pra sulamericano histórico positivo x europeus copa mundos copa confederações em confrontos diretos a razão europa ter  wc x wc sudakas porque europeus x times sulamericanos quando torneio mesma quantidade times sulamericanos ganham lavada copa confederações,0,3,1,0,1,0,0
132,132,hx4ah7g,e ganhar voto agora garantia relevância sensatez não pco sensato,0,0,1,2,0,0,0
133,133,i07397k,vai trabalhar shopping,0,-1,1,1,0,1,1
134,134,i0jhdy3,na verdade mongolia invadiu japao duas vezes na primeira perderam terra segunda invasao parados ventos finlandia chegou acordo cedeu parte territorio depois matar muitos sovieticos grecia fodeu alemanha etiopia fodeu italia segunda vez exatamente na segunda italia perdeu primeira duas invasoes,0,3,1,2,0,0,1
135,135,i1ntib5,que decore,0,5,1,1,2,1,1
136,136,i1xg1k5,nano machines son,0,6,1,1,1,1,1
137,137,i26o1i0,uma amiga caiu golpe ano passado alertando quando pessoa disposta acreditar mentira adianta alertar,0,4,1,0,0,1,0
138,138,i3aa74j,kyle kayo,0,6,1,1,1,1,1
139,139,i4qd91o,se n pudesse votar nulo votaria bozo pq odeio um pouco menos lula,0,8,0,0,0,0,0
140,140,i7mrkwk,né possível gato fez,2,6,2,2,1,1,2
141,141,i7pqh7j,esquerdista burro né mano vai esperar oq,0,4,0,0,0,0,0
142,142,i8t8gsy,a mãe profissional física ela afirmou tudo corretíssimo,2,2,2,1,2,2,2
143,143,ibbyo3c,vai nada,0,0,1,1,1,1,1
144,144,ieii1rf,conselho namorou colega trabalho chuta que é macumba roubada cilada cana programa índio chave cadeia não nada pior namorada trabalho aquela coleguinha arrastou asinha frente dela briga o colega departamento anda falando pros outros anda gostosa briga aconteceu estresse trabalho onde dois lados opostos briga brigou vai ter encarar fera todo dia terminar namoro terminou vai ter encara fera todas amigas trabalho agora odeiam igualmente isso vingativa fizer vida inferno antes achar jeito fazer demitido o mar cheio peixes deixa pescar nesse pinuquinho aqui vida tranquila,0,4,0,0,0,0,0
145,145,if25bwg,pra mim pizza doce existe é pão doce glorificado,0,5,1,2,2,1,1
146,146,ihqm43d,espera hummm não senti vergonha ter habitar planeta criaturas tão inferiores,0,4,0,0,0,0,0
147,147,ihv4ej7,hoje dia passivo nos esportes,0,7,1,2,1,1,1
148,148,ii3n4s3,só conveniente lacração,0,2,0,0,0,1,0
149,149,ikbseu0,vai chrome mesmo cai furada brave cheio falhas,0,-1,0,0,0,0,1
150,150,ilnk9zz,mesmo motivo fiz vc nascer questões momento,0,-1,1,1,1,1,1
151,151,im2fiv2,tentaria começar filmar antes levar polícia se primeira opção desse certo outras pessoas presenciado agressão contra mim imobilizaria alguém ajudar se homem partiria logo segunda opção pois perigo bem maior conta força física,0,1,1,2,1,0,0
152,152,io9kij1,foi pra aumentar lista clubes treinou,0,3,1,2,1,1,1
153,153,iqx1ds7,óbvio op palmeirense kkkkkkk só perde casa,0,0,1,0,1,0,0
154,154,ire21ld,mandem zap telegram junto link entrevista,0,7,1,1,1,1,1
155,155,irewswi,nova zelandia tá  amigo brasil  meo deoosss em  nova zelandia  brasil  vergonha,0,0,0,1,0,0,0
156,156,isgj1r2,esse mandetta matou milhares pessoas protocolo ridículo ir pro hospital faltando ar,0,1,0,0,0,0,0
157,157,isolh5a,e defenda ele fechando olhso pra corrupção bolsonaro pra achar lá pra lutar contra corrupção,0,8,0,2,0,0,0
158,158,it50qps,parabéns belo gosto horrível,0,2,0,2,0,2,0
159,159,itbq8dl,powered by ms paint,0,2,1,1,1,1,1
160,160,iufwn5w,zema experiência comprovada executivo,0,8,1,1,1,1,1
161,161,ivk9snz,fala pra reconhece outro plot twist vai fica calvo tbm,0,0,1,1,0,1,0
162,162,iw02tkb,depende classifica país socialista comunista o archie brown livro sobre comunismo diferenciava países socialistas governados socialistas países comunistas que economia planificada centralismo democrático partido controle meios prod etc nesse caso coréia norte cuba laos comunistas,0,8,1,0,1,1,1
163,163,iw6ujqh,a melhor coisa ignorar so tipo comentario quantidade comentarios memsos usuarios falando mesma coisa todo post ja pra ver gente vida imagino povo vendo torcida estadio futebol kkkkkk,0,3,0,0,0,0,0
164,164,iwqe6kw,tomar roacutan mesmo assim continuo sendo grandes coisad comparado coma antigamente jesus cristo,0,5,1,1,0,2,0
165,165,iwucgdg,tankie geralmente odeia irã porra ta falando mano tipo tankie defende estado fundamentalista absolutista religioso,0,6,0,0,0,0,0
166,166,iwyyax0,o fizeram los angeles outra coisa totalmente diferente meramente descriminalizaram posse significa apenas usuário vai preso pego drogas só isso isso aí existe região cracolândia maior parte tempo em los angeles jamais provisão controlada legal sendo defendido texto são duas coisas absolutamente diferentes pesquise direito  sabe outro estado eua onde descriminalizaram posse drogas também oregon e nada parecido aconteceu los angeles logo argumento serve sequer contra descriminalização si quanto contra dispensação controlada legal sendo defendido aqui é puro cherry picking o exemplo la máximo serve alerta cuidado certo controle o fato mesma coisa ter acontecido outros lugares descriminalizaram posse mostra fracasso brutal consequência necessária descriminalização si  os estados unidos vários programas dispensação controlada legal drogas pra viciados anos  vários programas prescrição morfina heroína pra viciados e todos funcionaram extremamente bem os resultados exatamente mesmos observados suíça  como disse defendo aqui deu certo suica deu certo absolutamente todo lugar tentado no texto cito três exemplos grãbretanha suíça méxico que apenas três exemplos vários países tentaram sempre sucesso  o programa trata legalizar droga pra maiores usam dispensação legal mediante prescrição pra usuários confirmados licenciados não mínimo risco menores começarem usar crack clínica pra distrair uma hipótese tão risível difícil levar comentário sério,0,8,1,0,0,0,0
167,167,iyvd0es,a última tomei meio desse ano certeza vou continuar tomando novas assim disponibilizar valeu toque,2,2,2,2,1,2,2
168,168,izqc5yj,lógico desabou kkkkk,0,6,1,0,1,0,0
169,169,j0kxoll,bom ter democracia,2,0,2,2,2,2,2
170,170,j0s2ruz,sei aposto cristiano ronaldo cheiroso bonito mina menos chato certeza,0,0,0,2,1,2,0
